#chr_A	pos_A	chr_B	pos_B
chr4	8460241	chr4	14032974
chr4	8462379	chr4	33346631
chr4	8464552	chr4	8470696
chr4	8472072	chr4	33390536
chr4	8586688	chr4	32928709
chr4	8635205	chr4	34241171
chr4	8710261	chr4	32226034
chr4	8742357	chr4	32560128
chr4	8755753	chr4	9073221
chr4	8759470	chr4	32873348
chr4	8768669	chr4	9096527
chr4	8797114	chr4	8938233
chr4	8871134	chr4	9011082
chr4	8927530	chr4	31566898
chr4	8933831	chr4	9875108
chr4	8946171	chr4	8960306
chr4	8953384	chr4	9657954
chr4	9012424	chr4	32870681
chr4	9032924	chr4	9133066
chr4	9035402	chr4	32938358
chr4	9108481	chr4	9118235
chr4	9110683	chr4	30575596
chr4	9215612	chr4	9527616
chr4	9227872	chr4	9235014
chr4	9233022	chr4	9537304
chr4	9235391	chr4	34088263
chr4	9342228	chr4	34360500
chr4	9342299	chr4	9531831
chr4	9359423	chr4	34361555
chr4	9375992	chr4	9507867
chr4	9396983	chr4	9638785
chr4	9477645	chr4	9501421
chr4	9478915	chr4	9490251
chr4	9480587	chr4	9755500
chr4	9539403	chr4	33733579
chr4	9544848	chr4	33737814
chr4	9625518	chr4	33726508
chr4	9647563	chr4	33899215
chr4	9671843	chr4	9687942
chr4	9696972	chr4	33482042
chr4	9743461	chr4	32426693
chr4	9745783	chr4	9755818
chr4	9801012	chr4	10535801
chr4	9840131	chr4	10406284
chr4	9840609	chr4	10948680
chr4	9840658	chr4	9870203
chr4	9852304	chr4	10929929
chr4	9921095	chr4	65427576
chr4	9939897	chr4	9940186
chr4	9939897	chr4	9940186
chr4	9969581	chr4	10526011
chr4	9999498	chr4	28456941
chr4	10036257	chr4	34152552
chr4	10073934	chr4	34134351
chr4	10122702	chr4	10896476
chr4	10141079	chr4	10171806
chr4	10150277	chr4	65380294
chr4	10171887	chr4	33683153
chr4	10175618	chr4	33953391
chr4	10276764	chr4	10557261
chr4	10294172	chr4	10298655
chr4	10319179	chr4	10835533
chr4	10374911	chr4	10389372
chr4	10397415	chr4	65275050
chr4	10483285	chr4	10489906
chr4	10538524	chr4	33518070
chr4	10541727	chr4	34036711
chr4	10585275	chr4	28315738
chr4	10600949	chr4	65097282
chr4	10621762	chr4	11119075
chr4	10623360	chr4	29161727
chr4	10646367	chr4	27115966
chr4	10654882	chr4	40946111
chr4	10654882	chr4	40946111
chr4	10753978	chr4	28331058
chr4	10827178	chr4	10833270
chr4	10830461	chr4	10936247
chr4	10879356	chr4	33207998
chr4	10879356	chr4	33207998
chr4	10906296	chr4	10912665
chr4	10916691	chr4	10916826
chr4	10955162	chr4	10961552
chr4	10973885	chr4	34735520
chr4	10975221	chr4	10982566
chr4	10993605	chr4	11016542
chr4	11003707	chr4	11077299
chr4	11008424	chr4	11010493
chr4	11035330	chr4	11228338
chr4	11039102	chr4	35057040
chr4	11051394	chr4	34835205
chr4	11079487	chr4	11084006
chr4	11081142	chr4	11124297
chr4	11085248	chr4	33352720
chr4	11085918	chr4	11093669
chr4	11086759	chr4	11215706
chr4	11101203	chr4	11217165
chr4	11148650	chr4	34834671
chr4	11149201	chr4	11162453
chr4	11196899	chr4	33251270
chr4	11208049	chr4	33251451
chr4	11211967	chr4	11217912
chr4	11306206	chr4	34579034
chr4	11323049	chr4	11323373
chr4	11323611	chr4	38438119
chr4	11350915	chr4	11430238
chr4	11372245	chr4	31993458
chr4	11417501	chr4	30041144
chr4	11465958	chr4	11499544
chr4	11466221	chr4	11513109
chr4	11466222	chr4	11513109
chr4	11467530	chr4	11468829
chr4	11473499	chr4	11505305
chr4	11481205	chr4	11498277
chr4	11488845	chr4	11490491
chr4	11491686	chr4	11494279
chr4	11502892	chr4	11553933
chr4	11557893	chr4	38449595
chr4	11564759	chr4	12105012
chr4	11564759	chr4	12105012
chr4	11566729	chr4	34884879
chr4	11576277	chr4	12105746
chr4	11592634	chr4	11717188
chr4	11603931	chr4	12238445
chr4	11604002	chr4	11608322
chr4	11621077	chr4	39490599
chr4	11654628	chr4	13079448
chr4	11661239	chr4	11803917
chr4	11772611	chr4	11796129
chr4	11794958	chr4	12198852
chr4	11810239	chr4	12907320
chr4	11816203	chr4	11886668
chr4	11857010	chr4	11872813
chr4	11868589	chr4	14138700
chr4	11868890	chr4	13826065
chr4	11875292	chr4	12020528
chr4	11878635	chr4	11884552
chr4	11879304	chr4	12003747
chr4	11942927	chr4	38577100
chr4	11984514	chr4	37399981
chr4	11997487	chr4	14014774
chr4	12061985	chr4	36631554
chr4	12110347	chr4	37106667
chr4	12131552	chr4	14107869
chr4	12157604	chr4	14989431
chr4	12183937	chr4	12184893
chr4	12250815	chr4	12335741
chr4	12272107	chr4	13023672
chr4	12276645	chr4	13056119
chr4	12393446	chr4	12967529
chr4	12414882	chr4	12416735
chr4	12429545	chr4	13739028
chr4	12440192	chr4	12457481
chr4	12440192	chr4	12457481
chr4	12475154	chr4	12944081
chr4	12507966	chr4	12881698
chr4	12553316	chr4	12659873
chr4	12558596	chr4	13551931
chr4	12583769	chr4	12837639
chr4	12608120	chr4	12637526
chr4	12614596	chr4	12696186
chr4	12771246	chr4	12774310
chr4	12790978	chr4	12791242
chr4	12910451	chr4	13692792
chr4	13042502	chr4	13200964
chr4	13102673	chr4	13106028
chr4	13105475	chr4	14734158
chr4	13137241	chr4	14637475
chr4	13150482	chr4	13791407
chr4	13195902	chr4	13207210
chr4	13236246	chr4	14212561
chr4	13326795	chr4	13329611
chr4	13477485	chr4	13681359
chr4	13608631	chr4	13608955
chr4	14057934	chr4	14059744
chr4	14402434	chr4	14410286
chr4	14403771	chr4	14751740
chr4	14650439	chr4	14650622
chr4	14688030	chr4	15144482
chr4	14698754	chr4	37894048
chr4	14751573	chr4	37886449
chr4	14791424	chr4	14827467
chr4	14793697	chr4	16146453
chr4	14850343	chr4	15390316
chr4	14896827	chr4	14957299
chr4	14957640	chr4	14960859
chr4	14996922	chr4	14999735
chr4	15007110	chr4	15027436
chr4	15063670	chr4	15065564
chr4	15095482	chr4	15097738
chr4	15111979	chr4	15112820
chr4	15115883	chr4	15219906
chr4	15129997	chr4	15131388
chr4	15143588	chr4	37377537
chr4	15154926	chr4	37385797
chr4	15181488	chr4	15243619
chr4	15181488	chr4	15243619
chr4	15232854	chr4	15233613
chr4	15254396	chr4	15272372
chr4	15267018	chr4	15325375
chr4	15319288	chr4	15321783
chr4	15351479	chr4	15352708
chr4	15399478	chr4	15406734
chr4	15478270	chr4	15632232
chr4	15483078	chr4	15533835
chr4	15519423	chr4	23950071
chr4	15545501	chr4	24076780
chr4	15590907	chr4	37577621
chr4	15590907	chr4	37577620
chr4	15614601	chr4	15702749
chr4	15758998	chr4	18838714
chr4	15842506	chr4	24538305
chr4	15842506	chr4	24538305
chr4	15892664	chr4	24661806
chr4	15942618	chr4	15948150
chr4	15951792	chr4	18417780
chr4	15979174	chr4	17024052
chr4	16034278	chr4	16292830
chr4	16034278	chr4	16292830
chr4	16122012	chr4	17153618
chr4	16123710	chr4	16180212
chr4	16217201	chr4	26221123
chr4	16227879	chr4	25327728
chr4	16227879	chr4	25327728
chr4	16260474	chr4	16279445
chr4	16260545	chr4	16260881
chr4	16279488	chr4	16302741
chr4	16289114	chr4	16439587
chr4	16289114	chr4	16439587
chr4	16333307	chr4	24783536
chr4	16424367	chr4	19146853
chr4	16486159	chr4	17023981
chr4	16561895	chr4	48519873
chr4	16596179	chr4	16681776
chr4	16597264	chr4	16606615
chr4	16608087	chr4	16802201
chr4	16616574	chr4	16659850
chr4	16655639	chr4	25128934
chr4	16722754	chr4	26094023
chr4	16722872	chr4	48432272
chr4	16728405	chr4	16774354
chr4	16740451	chr4	48498868
chr4	16936738	chr4	16953127
chr4	17075824	chr4	17092520
chr4	17104597	chr4	24905916
chr4	17173612	chr4	17200626
chr4	17173612	chr4	17200626
chr4	17206470	chr4	26364800
chr4	17343584	chr4	19278736
chr4	17370363	chr4	17390725
chr4	17501189	chr4	17501664
chr4	17586495	chr4	17586884
chr4	17609359	chr4	17622835
chr4	17609359	chr4	17622835
chr4	17667048	chr4	17667799
chr4	17719367	chr4	17825139
chr4	17719367	chr4	17825139
chr4	17754498	chr4	17923960
chr4	17770280	chr4	19288711
chr4	17796390	chr4	18491959
chr4	17817255	chr4	17819611
chr4	17843325	chr4	17976714
chr4	17935553	chr4	18673928
chr4	18188953	chr4	18671000
chr4	18196775	chr4	18963748
chr4	18322652	chr4	18339497
chr4	18349576	chr4	18647316
chr4	18354123	chr4	18679431
chr4	18374054	chr4	18855841
chr4	18378690	chr4	18387137
chr4	18389208	chr4	18631982
chr4	18490824	chr4	18493545
chr4	18667074	chr4	19134955
chr4	18690883	chr4	18977279
chr4	18997573	chr4	19001235
chr4	18997573	chr4	19001235
chr4	19013097	chr4	19046160
chr4	19138249	chr4	19216337
chr4	19138249	chr4	19216337
chr4	19419319	chr4	19534723
chr4	19430645	chr4	19454668
chr4	19430645	chr4	19454668
chr4	19476284	chr4	22454030
chr4	19527711	chr4	19534145
chr4	19607995	chr4	19609445
chr4	19870175	chr4	19870594
chr4	19916781	chr4	19919035
chr4	19982603	chr4	21178853
chr4	19988631	chr4	20003207
chr4	19995594	chr4	20003136
chr4	20142081	chr4	20151355
chr4	20153379	chr4	20165213
chr4	20205099	chr4	20207073
chr4	20233278	chr4	21864848
chr4	20276816	chr4	20285740
chr4	20385100	chr4	20390718
chr4	20526546	chr4	22428948
chr4	20531364	chr4	20592915
chr4	20550396	chr4	21352986
chr4	20555343	chr4	21355026
chr4	20579356	chr4	21871584
chr4	20588863	chr4	20642796
chr4	20682800	chr4	20837162
chr4	20704435	chr4	21478297
chr4	20841594	chr4	21420861
chr4	20843542	chr4	21153264
chr4	20875156	chr4	21838447
chr4	20909201	chr4	23360220
chr4	20921583	chr4	23084609
chr4	20972344	chr4	21619783
chr4	20994622	chr4	21049820
chr4	21051934	chr4	21166092
chr4	21124722	chr4	21502803
chr4	21158870	chr4	21503075
chr4	21173169	chr4	21467796
chr4	21228526	chr4	21269040
chr4	21292041	chr4	21832069
chr4	21570074	chr4	23350043
chr4	21598089	chr4	21832931
chr4	21600835	chr4	21605684
chr4	21612508	chr4	21614579
chr4	21640303	chr4	21729859
chr4	21684317	chr4	21746563
chr4	21725921	chr4	21916081
chr4	21800661	chr4	21803927
chr4	21803703	chr4	21823289
chr4	21842892	chr4	21843197
chr4	21863999	chr4	21875315
chr4	21936213	chr4	23746697
chr4	21954943	chr4	23125095
chr4	21954943	chr4	23125095
chr4	21992208	chr4	22016316
chr4	22020951	chr4	23709957
chr4	22021509	chr4	23737791
chr4	22055637	chr4	22217574
chr4	22110592	chr4	22949082
chr4	22156758	chr4	22217732
chr4	22190493	chr4	22217349
chr4	22196222	chr4	22200937
chr4	22278183	chr4	22298223
chr4	22305906	chr4	22935574
chr4	22388604	chr4	22389359
chr4	22480750	chr4	22486280
chr4	22517739	chr4	22556310
chr4	22582155	chr4	23738606
chr4	22582831	chr4	23633081
chr4	22604664	chr4	23393123
chr4	22620629	chr4	23748383
chr4	22633134	chr4	23101600
chr4	22677344	chr4	22808584
chr4	22733983	chr4	23812023
chr4	22770589	chr4	22775150
chr4	22927748	chr4	22960325
chr4	22958466	chr4	23429764
chr4	23069557	chr4	23633517
chr4	23192922	chr4	23723597
chr4	23277977	chr4	23282945
chr4	23277977	chr4	23282945
chr4	23496148	chr4	23511944
chr4	23496148	chr4	23511944
chr4	23655425	chr4	23671056
chr4	23768105	chr4	23859357
chr4	23768105	chr4	23859357
chr4	23774841	chr4	24380850
chr4	23791728	chr4	23810436
chr4	23914093	chr4	24414379
chr4	23992793	chr4	24232986
chr4	24153414	chr4	24626622
chr4	24215283	chr4	24402525
chr4	24244763	chr4	24274788
chr4	24244763	chr4	24274788
chr4	24248018	chr4	24689936
chr4	24289490	chr4	24289642
chr4	24427087	chr4	24427286
chr4	24592714	chr4	24704145
chr4	24718786	chr4	24763272
chr4	24720881	chr4	24769423
chr4	24755004	chr4	24792306
chr4	24796446	chr4	24828516
chr4	24831217	chr4	24886325
chr4	24847114	chr4	24876082
chr4	24944432	chr4	73598313
chr4	24944572	chr4	73593914
chr4	24988305	chr4	25647769
chr4	24988305	chr4	25647769
chr4	25005528	chr4	25668627
chr4	25046592	chr4	48671306
chr4	25054551	chr4	46345757
chr4	25057630	chr4	46341213
chr4	25095113	chr4	25098629
chr4	25102747	chr4	73756159
chr4	25142261	chr4	71478848
chr4	25191303	chr4	39116995
chr4	25278375	chr4	25324629
chr4	25309276	chr4	25309468
chr4	25309523	chr4	39214179
chr4	25312468	chr4	25552463
chr4	25354074	chr4	38964887
chr4	25354074	chr4	38964887
chr4	25414032	chr4	39656065
chr4	25442792	chr4	25993722
chr4	25445991	chr4	25525168
chr4	25447385	chr4	25447599
chr4	25457993	chr4	25534568
chr4	25530468	chr4	25530930
chr4	25559429	chr4	39692297
chr4	25572400	chr4	25625644
chr4	25687895	chr4	39656295
chr4	25822463	chr4	39944842
chr4	25885615	chr4	73428668
chr4	25904752	chr4	73388214
chr4	25908207	chr4	73427243
chr4	25975530	chr4	26383564
chr4	26033135	chr4	26365509
chr4	26036386	chr4	26426525
chr4	26066725	chr4	26067132
chr4	26157004	chr4	73775302
chr4	26400829	chr4	74060503
chr4	26501855	chr4	39328726
chr4	26503599	chr4	39333238
chr4	26634149	chr4	71218466
chr4	26634149	chr4	71218466
chr4	26705721	chr4	28810890
chr4	26706551	chr4	29516414
chr4	26713312	chr4	28925072
chr4	26874560	chr4	29826570
chr4	26949882	chr4	27899922
chr4	26969995	chr4	27043598
chr4	26969995	chr4	27043598
chr4	26978392	chr4	29850811
chr4	26978392	chr4	29850811
chr4	27051767	chr4	27082448
chr4	27072498	chr4	27338503
chr4	27088625	chr4	40924264
chr4	27088625	chr4	40924264
chr4	27091558	chr4	29863546
chr4	27134743	chr4	29882024
chr4	27297301	chr4	27299418
chr4	27354977	chr4	27822825
chr4	27364402	chr4	27822598
chr4	27447492	chr4	29654639
chr4	27451326	chr4	29719125
chr4	27451326	chr4	29719125
chr4	27738719	chr4	27758784
chr4	27837538	chr4	28129627
chr4	27837538	chr4	28129627
chr4	27849536	chr4	27898940
chr4	27987021	chr4	29842428
chr4	28081179	chr4	29897643
chr4	28111859	chr4	28233441
chr4	28249845	chr4	28255271
chr4	28263295	chr4	29876139
chr4	28326625	chr4	28425297
chr4	28335566	chr4	28722325
chr4	28428764	chr4	29909777
chr4	28575066	chr4	65518464
chr4	28575705	chr4	65527960
chr4	28575705	chr4	65527960
chr4	28630024	chr4	64854057
chr4	28632152	chr4	40704758
chr4	28632152	chr4	40704758
chr4	28632898	chr4	29025990
chr4	28670919	chr4	28699930
chr4	28695862	chr4	64999652
chr4	28769789	chr4	35864680
chr4	28806829	chr4	29112980
chr4	28865204	chr4	28865392
chr4	28869838	chr4	40789710
chr4	28878512	chr4	40249409
chr4	28893673	chr4	65807606
chr4	28931870	chr4	64876329
chr4	28937115	chr4	29527700
chr4	29001343	chr4	29529984
chr4	29042245	chr4	29069380
chr4	29094161	chr4	29096587
chr4	29283478	chr4	40732628
chr4	29681389	chr4	29695983
chr4	29911950	chr4	29914696
chr4	29918887	chr4	29919321
chr4	29918983	chr4	65451156
chr4	30087282	chr4	31313956
chr4	30090612	chr4	30094576
chr4	30094505	chr4	31223436
chr4	30172398	chr4	30237481
chr4	30189929	chr4	36415238
chr4	30290486	chr4	30774394
chr4	30303435	chr4	30545557
chr4	30315667	chr4	31032233
chr4	30337745	chr4	31376223
chr4	30346913	chr4	32258473
chr4	30349517	chr4	30596499
chr4	30386968	chr4	31379158
chr4	30395445	chr4	30793300
chr4	30395445	chr4	30793300
chr4	30439957	chr4	30441164
chr4	30467914	chr4	32348463
chr4	30468340	chr4	31345086
chr4	30596539	chr4	31368483
chr4	30597196	chr4	30597515
chr4	30703963	chr4	31664340
chr4	30753306	chr4	30894383
chr4	30783253	chr4	31397576
chr4	30818590	chr4	32303811
chr4	30860896	chr4	30863719
chr4	30905797	chr4	30909656
chr4	30917916	chr4	31722299
chr4	30951129	chr4	30951557
chr4	31139806	chr4	31701069
chr4	31259533	chr4	31419168
chr4	31261584	chr4	31261905
chr4	31286000	chr4	31483209
chr4	31286330	chr4	31448893
chr4	31289381	chr4	31293704
chr4	31356304	chr4	32333018
chr4	31387550	chr4	31395674
chr4	31449888	chr4	31455665
chr4	31546680	chr4	32205081
chr4	31565985	chr4	31568098
chr4	31568278	chr4	31901945
chr4	31589372	chr4	31870855
chr4	31655721	chr4	32148457
chr4	31700756	chr4	31741468
chr4	31790808	chr4	31931587
chr4	31815297	chr4	31822369
chr4	31815297	chr4	31822369
chr4	31818864	chr4	31821414
chr4	31839762	chr4	31880258
chr4	31903076	chr4	31905119
chr4	31980957	chr4	32012526
chr4	31993043	chr4	32742897
chr4	32009313	chr4	32634401
chr4	32028007	chr4	32037120
chr4	32041836	chr4	32834946
chr4	32057197	chr4	32198408
chr4	32057791	chr4	32166088
chr4	32131239	chr4	32508254
chr4	32158331	chr4	32253834
chr4	32167604	chr4	32853849
chr4	32227397	chr4	32514169
chr4	32246897	chr4	32257617
chr4	32304673	chr4	32375702
chr4	32322977	chr4	32375901
chr4	32362468	chr4	32418987
chr4	32705909	chr4	32716068
chr4	32761337	chr4	32766691
chr4	32789785	chr4	32962241
chr4	32836829	chr4	33319661
chr4	32872206	chr4	33327657
chr4	32883381	chr4	32894637
chr4	32892561	chr4	32954102
chr4	32951969	chr4	32961153
chr4	32997163	chr4	33013126
chr4	33036599	chr4	33352585
chr4	33066934	chr4	33082639
chr4	33069354	chr4	33323940
chr4	33139696	chr4	33218472
chr4	33153593	chr4	33161309
chr4	33165041	chr4	33373913
chr4	33180446	chr4	33180650
chr4	33185393	chr4	33236026
chr4	33228327	chr4	33233561
chr4	33300333	chr4	33308952
chr4	33344019	chr4	33355232
chr4	33381999	chr4	33409760
chr4	33383472	chr4	33383682
chr4	33438768	chr4	34241307
chr4	33464179	chr4	34247087
chr4	33537954	chr4	33933371
chr4	33628334	chr4	33804687
chr4	33706767	chr4	34253674
chr4	33706767	chr4	34253674
chr4	33749872	chr4	33750075
chr4	33758531	chr4	34045100
chr4	33761572	chr4	33854271
chr4	33818820	chr4	34350417
chr4	33970673	chr4	33977024
chr4	33996046	chr4	34310089
chr4	34062449	chr4	34123781
chr4	34233687	chr4	34307067
chr4	34422242	chr4	34787129
chr4	34429597	chr4	65380223
chr4	34432820	chr4	34441089
chr4	34563332	chr4	34574069
chr4	34655605	chr4	34759984
chr4	34657153	chr4	34777485
chr4	34681788	chr4	36773493
chr4	34684068	chr4	34703245
chr4	34724906	chr4	34733888
chr4	34726257	chr4	34738843
chr4	34726578	chr4	34944625
chr4	34755745	chr4	39429700
chr4	34779968	chr4	34996357
chr4	34798105	chr4	35388707
chr4	34803918	chr4	35205256
chr4	34834304	chr4	39062395
chr4	34836523	chr4	36322756
chr4	34853319	chr4	37155253
chr4	34913666	chr4	34918238
chr4	34979942	chr4	35157210
chr4	35025726	chr4	38845807
chr4	35025726	chr4	38845807
chr4	35029473	chr4	35290158
chr4	35036845	chr4	39022302
chr4	35093867	chr4	39916809
chr4	35241667	chr4	35903753
chr4	35244353	chr4	35262668
chr4	35309591	chr4	40144730
chr4	35353109	chr4	35754772
chr4	35365746	chr4	36334010
chr4	35376087	chr4	35394029
chr4	35395978	chr4	35709854
chr4	35466807	chr4	36288593
chr4	35476392	chr4	36261696
chr4	35488889	chr4	35493062
chr4	35498231	chr4	65358141
chr4	35503210	chr4	35706862
chr4	35591593	chr4	65317655
chr4	35652915	chr4	35683360
chr4	35814226	chr4	36255509
chr4	35831659	chr4	35832210
chr4	35961027	chr4	65068143
chr4	35966727	chr4	36067639
chr4	36041042	chr4	36405276
chr4	36041905	chr4	36410234
chr4	36067710	chr4	36081991
chr4	36153900	chr4	65030733
chr4	36161004	chr4	40098421
chr4	36255422	chr4	36845667
chr4	36292607	chr4	36408272
chr4	36383920	chr4	36767845
chr4	36506277	chr4	36678595
chr4	36528523	chr4	36537018
chr4	36680609	chr4	38467330
chr4	36684622	chr4	36737176
chr4	36700469	chr4	36929100
chr4	36700849	chr4	38436042
chr4	36700849	chr4	38436042
chr4	36766737	chr4	38357794
chr4	36768575	chr4	36789087
chr4	36822638	chr4	36889788
chr4	36884112	chr4	36887981
chr4	36937608	chr4	36940592
chr4	36965928	chr4	37010466
chr4	37013490	chr4	37015088
chr4	37014747	chr4	38380257
chr4	37541703	chr4	37851617
chr4	37708960	chr4	37749941
chr4	37722406	chr4	37725630
chr4	38110553	chr4	38118682
chr4	38156536	chr4	38177920
chr4	38156536	chr4	38177920
chr4	38255453	chr4	40038851
chr4	38284758	chr4	38448032
chr4	38286083	chr4	38654704
chr4	38559721	chr4	38586790
chr4	38768108	chr4	39135567
chr4	38806534	chr4	39922278
chr4	38806534	chr4	39922278
chr4	38848767	chr4	39570521
chr4	38957601	chr4	39998827
chr4	39199233	chr4	39595971
chr4	39312895	chr4	39316601
chr4	39482693	chr4	39488165
chr4	39492247	chr4	39994677
chr4	39510801	chr4	39704933
chr4	39695377	chr4	39700287
chr4	39785202	chr4	39793791
chr4	39832486	chr4	39834884
chr4	39878014	chr4	39959563
chr4	39985570	chr4	39995557
chr4	40120472	chr4	71387178
chr4	40148217	chr4	40155025
chr4	40153802	chr4	40788943
chr4	40166309	chr4	71253015
chr4	40188430	chr4	40303252
chr4	40205778	chr4	40206105
chr4	40217532	chr4	41139985
chr4	40224430	chr4	40232992
chr4	40261274	chr4	65835519
chr4	40278749	chr4	65854101
chr4	40282520	chr4	40837967
chr4	40282520	chr4	40837967
chr4	40288232	chr4	64883854
chr4	40291397	chr4	45893514
chr4	40332845	chr4	40347183
chr4	40334972	chr4	47349792
chr4	40343011	chr4	40407509
chr4	40486274	chr4	41066572
chr4	40487028	chr4	41399938
chr4	40507814	chr4	45644493
chr4	40508408	chr4	40510892
chr4	40623087	chr4	41079565
chr4	40628545	chr4	40901398
chr4	40629754	chr4	40632012
chr4	40629754	chr4	40632012
chr4	40634292	chr4	41066382
chr4	40635794	chr4	46304451
chr4	40635794	chr4	46304451
chr4	40650949	chr4	40676532
chr4	40650949	chr4	40676532
chr4	40698404	chr4	40700829
chr4	40730280	chr4	40739488
chr4	40737241	chr4	40762072
chr4	40737241	chr4	40762072
chr4	40762450	chr4	40919046
chr4	40796493	chr4	40802684
chr4	40799171	chr4	40970074
chr4	40811052	chr4	40953554
